trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,4,-5.9635369430958525,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,8,12.321956092998974,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,0,4.476575096006895,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,-3,-20.37906964329706,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,14,0.38508248012138013,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",35,6,9.264665505264013,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",35,22,7.591339198632682,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,14,-21.192295780736597,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,19,21.789313089749932,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,8,18.84539363348339,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,11,-23.29753031011431,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,15,-61.5451591778229,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,15,-22.831406416803187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,13,14.33978690942483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,9,21.316586330971205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,3,16.25126633123406,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,-7,-28.25090592354251,"{0: 27, 1: 0, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,2,27.243570791318305,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,0,-28.52357523127099,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,8,11.825580287255686,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",20,9,-35.6900131839157,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,5,-36.02999661291332,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,2,12.691392951416844,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,13,8.775943343922338,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
